Time,Message
707060.0383207,"0.00
"
707060.0394733,"0.00
"
707060.0407579,"0.00
"
707060.0420497,"0.00
"
707060.0433889,"0.00
"
707060.0445637,"0.00
"
707060.0458522,"0.00
"
707060.0470928,"0.00
"
707060.0484341,"0.00
"
707060.0496602,"0.00
"
707060.0509125,"0.00
"
707060.0522605,"0.00
"
707060.0535156,"0.00
"
707060.0547974,"0.00
"
707060.0560095,"0.00
"
707060.0573263,"0.00
"
707060.0585858,"0.00
"
707060.0599147,"0.00
"
707060.0613445,"0.00
"
707060.0625889,"0.00
"
707060.0636881,"0.00
"
707060.0649643,"0.00
"
707060.066279,"0.00
"
707060.0673957,"0.00
"
707060.068759,"0.00
"
707060.0701468,"0.00
"
707060.071191,"0.00
"
707060.0725144,"0.00
"
707060.0737306,"0.00
"
707060.0751279,"0.00
"
707060.0764275,"0.00
"
707060.0776927,"0.00
"
707060.078987,"0.00
"
707060.0800874,"0.00
"
707060.0815216,"0.00
"
707060.0827599,"0.00
"
707060.0839392,"0.00
"
707060.0851526,"0.00
"
707060.0864359,"0.00
"
707060.0876813,"0.00
"
707060.088943,"0.00
"
707060.0902069,"0.00
"
707060.0914932,"0.00
"
707060.0927374,"0.00
"
707060.0941013,"0.00
"
707060.0953588,"0.00
"
707060.0967293,"0.00
"
707060.0979122,"0.00
"
707060.0990983,"0.00
"
707060.1003884,"0.00
"
707060.1016224,"0.00
"
707060.102896,"0.00
"
707060.1041893,"0.00
"
707060.1065538,"0.00
"
707060.106838,"0.00
"
707060.1081459,"0.00
"
707060.1093294,"0.00
"
707060.110792,"0.00
"
707060.111934,"0.00
"
707060.1131647,"0.00
"
707060.1144458,"0.00
"
707060.1156014,"0.00
"
707060.1169895,"0.00
"
707060.1182032,"0.00
"
707060.1195143,"0.00
"
707060.1207046,"0.00
"
707060.1221439,"0.00
"
707060.12353,"0.00
"
707060.1245087,"0.00
"
707060.1258187,"0.00
"
707060.1270345,"0.00
"
707060.1283,"0.00
"
707060.1296063,"0.00
"
707060.1310057,"0.00
"
707060.1321479,"0.00
"
707060.1334556,"0.00
"
707060.1347034,"0.00
"
707060.1360292,"0.00
"
707060.1371976,"0.00
"
707060.13873,"0.00
"
707060.1401506,"0.00
"
707060.1409195,"0.00
"
707060.14219,"0.00
"
707060.143452,"0.00
"
707060.1448867,"0.00
"
707060.1460659,"0.00
"
707060.1472649,"0.00
"
707060.1485579,"0.00
"
707060.1498609,"0.00
"
707060.1511497,"0.00
"
707060.1524075,"0.00
"
707060.1535729,"0.00
"
707060.1551892,"0.00
"
707060.1566382,"0.00
"
707060.1574136,"0.00
"
707060.1587358,"0.00
"
707060.1599067,"0.00
"
707060.1611836,"0.00
"
707060.162518,"0.00
"
707060.1638116,"0.00
"
707060.164908,"0.00
"
707060.1662317,"0.00
"
707060.167604,"0.00
"
707060.168856,"0.00
"
707060.1701335,"0.00
"
707060.1714185,"0.00
"
707060.1726062,"0.00
"
707060.1739201,"0.00
"
707060.1752946,"0.00
"
707060.1764358,"0.00
"
707060.1777054,"0.00
"
707060.1789836,"0.00
"
707060.1802438,"0.00
"
707060.1815672,"0.00
"
707060.1828071,"0.00
"
707060.1840799,"0.00
"
707060.1853905,"0.00
"
707060.1868322,"0.00
"
707060.1880098,"0.00
"
707060.1896871,"0.00
"
707060.190488,"0.00
"
707060.1917315,"0.00
"
707060.1929846,"0.00
"
707060.194378,"0.00
"
707060.1956477,"0.00
"
707060.1968309,"0.00
"
707060.1981835,"0.00
"
707060.1994374,"0.00
"
707060.2006361,"0.00
"
707060.201968,"0.00
"
707060.2032563,"0.00
"
707060.204499,"0.00
"
707060.2057711,"0.00
"
707060.2069315,"0.00
"
707060.208255,"0.00
"
707060.2096123,"0.00
"
707060.2108295,"0.00
"
707060.212075,"0.00
"
707060.2133842,"0.00
"
707060.2146284,"0.00
"
707060.2157571,"0.00
"
707060.2171825,"0.00
"
707060.2184673,"0.00
"
707060.2196888,"0.00
"
707060.220922,"0.00
"
707060.2223098,"0.00
"
707060.223415,"0.00
"
707060.224653,"0.00
"
707060.2260841,"0.00
"
707060.2272913,"0.00
"
707060.2286031,"0.00
"
707060.2298276,"0.00
"
707060.2311269,"0.00
"
707060.2325581,"0.00
"
707060.233823,"0.00
"
707060.2351183,"0.00
"
707060.2363376,"0.00
"
707060.2375997,"0.00
"
707060.2387998,"0.00
"
707060.2399981,"0.00
"
707060.2412308,"0.00
"
707060.2425147,"0.00
"
707060.2438365,"0.00
"
707060.2451052,"0.00
"
707060.2463891,"0.00
"
707060.2477026,"0.00
"
707060.2490568,"0.00
"
707060.2502724,"0.00
"
707060.251614,"0.00
"
707060.2527184,"0.00
"
707060.2540068,"0.00
"
707060.2554643,"0.00
"
707060.2563833,"0.00
"
707060.2576843,"0.00
"
707060.2591432,"0.00
"
707060.2604085,"0.00
"
707060.2616623,"0.00
"
707060.2627461,"0.00
"
707060.2642336,"0.00
"
707060.2654824,"0.00
"
707060.2667862,"0.00
"
707060.2680274,"0.00
"
707060.2693067,"0.00
"
707060.2705695,"0.00
"
707060.2718013,"0.00
"
707060.2728789,"0.00
"
707060.2742665,"0.00
"
707060.2755692,"0.00
"
707060.2769005,"0.00
"
707060.278016,"0.00
"
707060.2794888,"0.00
"
707060.2807461,"0.00
"
707060.2818956,"0.00
"
707060.2832681,"0.00
"
707060.2845515,"0.00
"
707060.2858021,"0.00
"
707060.2870817,"0.00
"
707060.2880741,"0.00
"
707060.2898861,"0.00
"
707060.2905806,"0.00
"
707060.2919804,"0.00
"
707060.2931486,"0.00
"
707060.2946376,"0.00
"
707060.2959889,"0.00
"
707060.2972388,"0.00
"
707060.2983959,"0.00
"
707060.2997838,"0.00
"
707060.3010533,"0.00
"
707060.3023531,"0.00
"
707060.3033804,"0.00
"
707060.3047178,"0.00
"
707060.3058675,"0.00
"
707060.3071097,"0.00
"
707060.3084844,"0.00
"
707060.3097775,"0.00
"
707060.3110095,"0.00
"
707060.3122939,"0.00
"
707060.3135565,"0.00
"
707060.3148698,"0.00
"
707060.3162421,"0.00
"
707060.3174988,"0.00
"
707060.3187808,"0.00
"
707060.3198212,"0.00
"
707060.3209998,"0.00
"
707060.3224079,"0.00
"
707060.3235568,"0.00
"
707060.3247685,"0.00
"
707060.3267485,"0.00
"
707060.3278037,"0.00
"
707060.3292649,"0.00
"
707060.330584,"0.00
"
707060.3318107,"0.00
"
707060.3330538,"0.00
"
707060.3343538,"0.00
"
707060.3354009,"0.00
"
707060.3367053,"0.00
"
707060.338468,"0.00
"
707060.3397339,"0.00
"
707060.3411584,"0.00
"
707060.3416994,"0.00
"
707060.3428976,"0.00
"
707060.3443091,"0.00
"
707060.3455216,"0.00
"
707060.3467085,"0.00
"
707060.3480619,"0.00
"
707060.349224,"0.00
"
707060.3505714,"0.00
"
707060.351503,"0.00
"
707060.3527866,"0.00
"
707060.3544132,"0.00
"
